Abitibi Temiscamingue,0077X,HOPITAL PSYCHIATRIQUE DE MALARTIC,"1141 RUE ROYALE CP 800, MALARTIC, QC, J0Y 1Z0","1,3,6,8",0.0,ChIJc_hfxn6tIE0Rz6wItmfvifM,Hôpital en santé mentale et CLSC de Malartic,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745790598,hospital,0,"[""8198257739"", ""8197574330""]","{""8197574330"": ""administration (general administrative communications)"", ""8198257739"": ""general purposes (alternative/general inquiries, no specific department listed)""}"
Abitibi Temiscamingue,0150X,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2","0,1,2,3,4,6,7,8",1.0,ChIJ8_e2nZGSIE0RQHTMxFaGFwk,Hôpital d’Amos,Amos,CA,QC,J9T 2S2,+1 819-732-3341,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598,hospital,0,"[""819-732-7054"", ""819-732-0425"", ""8197323056"", ""8197320425"", ""8197326484"", ""8197327054""]","{""8197323056"": ""general inquiries and admin"", ""8197326484"": ""medical records"", ""819-732-7054"": ""fondation (hospital foundation/admin, likely donations or foundation business)"", ""8197327054"": ""fondation (hospital foundation/admin, likely donations or foundation business)"", ""819-732-0425"": ""general hospital purposes (possibly admin or other hospital communications, as it is associated with the main hospital)"", ""8197320425"": ""general hospital purposes (possibly admin or other hospital communications, as it is associated with the main hospital)""}"
Abitibi Temiscamingue,0152X,CENTRE MULTI SSS DE LA SARRE,"679 2E RUE CP 6000, LA SARRE, QC, J9Z 2X7","1,2,3,4,6,7,8",2.0,ChIJA0oPPnh5IU0R6oY1vw_EGAY,Centre Hospitalier De La Sarre,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598,hospital,0,"[""8193332755"", ""8193331198""]","{""8193332755"": ""general inquiries / main administration (for the overall centre multi sss de la sarre)"", ""8193331198"": ""rehabilitation services / patient care for substance dependency (specific to centre normand)""}"
Abitibi Temiscamingue,0153X,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2","0,1,2,3,4,6,7,8",3.0,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0,"[""8197621057"", ""8197644211"", ""8197642927""]","{""8197621057"": ""general inquiries (main reception, general communications)"", ""8197644211"": ""general inquiries (unspecified/general use)"", ""8197642927"": ""medical records (archives, medical record documents)""}"
Abitibi Temiscamingue,0154X,HOPITAL DE VAL-D'OR,"725 6E RUE, VAL-D'OR, QC, J9P 3Y1","0,1,2,3,4,6,7,8",4.0,ChIJZxWIxxFT30wR3OYQ6a73BHU,Hôpital de Val-d’Or,Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.0966532,-77.7964539,1745790598,hospital,0,"[""819-825-7909"", ""8198257909"", ""8198257921"", ""8198257812""]","{""8198257812"": ""general inquiries (reception)"", ""8198257921"": ""medical records (archives)"", ""819-825-7909"": ""purpose unspecified / unknown (same number as above, just without dashes)"", ""8198257909"": ""purpose unspecified / unknown (same number as above, just without dashes)""}"
Abitibi Temiscamingue,0155X,CENTRE MULTI SSS DE VILLE-MARIE,"22 NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8","1,2,3,4,6,7,8",5.0,ChIJK40IRaJBJk0RFifVvlYtO9s,Centre de Santé et de services sociaux du Lac-Témiscamingue,Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745790598,hospital,0,"[""8196293257"", ""8196292128""]","{""8196292128"": ""primary/general facility fax (likely for general inquiries, referrals, admin, and overall communication for centre multi sss de ville-marie)"", ""8196293257"": ""centre de sant\u00e9 sainte-famille fax (likely for general communication, referrals, and departmental use for the sainte-famille center at the same address)""}"
Abitibi Temiscamingue,0460X,CENTRE MULTI SSS DE MACAMIC,"169 7E AVENUE E, MACAMIC, QC, J0Z 2S0","2,3,4,8",6.0,ChIJz7wEMWNzIU0RkDFq_Z-RSZk,Clsc,Macamic,CA,QC,J0Z 2S0,+1 819-782-4661,,hospital,,48.7531887,-78.9836365,1745790598,hospital,0,[],{}
Abitibi Temiscamingue,0782X,CENTRE MULTI SSS DE SENNETERRE,"961 DE LA CLINIQUE CP 4000, SENNETERRE, QC, J0Y 2M0","1,3,4,7",7.0,ChIJG9BybJIW30wRPg2udXmJYmQ,Centre de santé de Senneterre,Senneterre,CA,QC,J0Y 2M0,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.3845597,-77.2529078,1745790598,hospital,0,"[""8197374652"", ""8197373122""]","{""8197373122"": ""general inquiries (general reception)"", ""8197374652"": ""child and youth protection services (referrals, reports, and communications related to child and youth protection)""}"
Abitibi Temiscamingue,0817X,CSSS DE TEMISCAMING-ET-DE-KIPAWA,"180 ANVIK CP 760, TEMISCAMING, QC, J0Z 3R0","1,3,4,5,6,7",8.0,ChIJeVHjVGlvKE0RClSEYMXjQiU,Info-Sante Clsc-Cs,Temiscaming,CA,QC,J0Z 3R0,,,hospital,,46.718235,-79.10011999999999,1745790598,hospital,0,"[""8196279497""]","{""8196279497"": ""general inquiries""}"
Abitibi Temiscamingue,10115,MDA MA DE ROUYN-NORANDA,"1155 RUE PERREAULT E, ROUYN-NORANDA, QC, J9X 0C4",,9.0,ChIJRYnrMgAzIU0RgjTZQP2PuNk,Maison des aînés et alternative de Rouyn-Noranda (2022),Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745790598,clinic,0,[],{}
